sample ID;Latitude;Longitude;Year;season;Month;Day;Date;d15N;d13C;dist;chla_2m;sst_2m;mld_2m;wind_2m;PPv_2m
80;53.48;-30.997;2011;2;6;17;898;4.520612713;-22.87114259;994.4374128;0.826655219;7.610497952;61.76996644;9.664552807;551.9009308
81;41.948;-54.467;2016;2;6;9;2717;8.822129683;-21.66181983;269.3076221;0.927027017;11.26934242;19.32171955;7.540464536;803.5724682
82;41.82;-54.053;2016;2;6;9;2717;8.716162566;-21.71767757;257.6249637;0.998067534;11.8555851;26.50857872;7.6997901;871.6253475
83;55.458;-13.383;2013;2;6;10;1622;3.795368151;-20.35544927;181.8708129;0.374424137;10.75869179;143.8447487;9.589418277;443.4312782
84;55.48;-12.797;2013;2;6;10;1622;3.397378046;-20.32126351;165.5534801;0.261477231;10.76445961;139.3094979;9.456354545;365.8568878
85;55.498;-12.208;2013;2;6;10;1622;3.308364698;-20.96509153;137.8054724;0.311078832;10.73836708;239.4802562;9.383400058;410.6872525
86;55.515;-11.622;2013;2;6;10;1622;3.825185085;-21.69704017;106.4747338;0.353186583;10.6847477;205.8448548;9.211646622;442.072305
87;55.527;-11.033;2013;2;6;10;1622;4.404719663;-23.17503713;76.61064573;0.623296316;10.59212685;79.10798278;9.065137934;602.6177242
88;65.862;3.562;2011;2;6;29;910;6.67649621;-23.56382601;241.1391832;1.925797158;8.811639786;15.56444058;6.847299663;1592.227966
89;65.753;-0.498;2011;2;6;29;910;11.98587911;-22.72755724;395.2003313;1.784824736;7.404229641;13.30056743;6.611036372;1250.54125
90;65.588;-3.71;2011;2;6;29;910;8.34675784;-22.81035561;342.9302578;0.885737224;5.826196194;12.9778717;6.581026323;766.5534319
91;65.537;-4.507;2011;2;6;29;910;7.769805396;-24.27286641;325.5548868;0.784942716;5.554284573;13.02039749;6.642788836;716.4341209
92;65.422;-6.087;2011;2;6;30;911;6.432897566;-26.85151629;264.0852483;0.970837685;4.961144924;13.23552798;6.751248055;783.0787635
93;65.848;2.747;2011;2;6;29;910;6.557942862;-23.56647401;275.5572552;2.820182628;8.847681046;16.25736087;6.845678812;1947.636827
94;65.808;1.122;2011;2;6;29;910;7.778860509;-22.4317801;345.9037515;2.3751266;8.468347549;15.21422816;6.765321091;1719.988468
95;65.783;0.312;2011;2;6;29;910;6.858158817;-23.24528017;370.3956693;2.157639091;7.909692287;13.25554012;6.667595954;1576.455279
96;49.913;-30.562;2016;2;6;11;2719;4.371576457;-22.91846262;1177.087503;0.962365274;10.95571327;28.18209379;8.850654824;845.5326162
97;50.085;-30.117;2016;2;6;12;2720;4.401274715;-22.17186111;1140.185036;0.885800936;11.28820229;31.22894185;8.839179201;810.4676775
98;48.107;-19.373;2009;2;6;5;156;5.57371858;-19.94328413;611.3001128;0.675313066;13.04094887;38.45332378;9.007897595;737.9295015
99;48.43;-17.445;2009;2;6;6;157;3.850828421;-21.65927266;464.6761698;0.6069443;13.00573158;41.67777957;8.887646687;676.5674637
100;48.497;-16.953;2009;2;6;6;157;3.58407086;-21.72317136;427.1208217;0.603993868;12.94637489;46.35811842;8.817374708;677.0602384
101;48.625;-15.965;2009;2;6;6;157;4.181371959;-21.031341;353.7774796;0.579689077;12.75768471;33.96560176;8.707051511;680.9896545
102;48.687;-15.468;2009;2;6;6;157;3.804209656;-21.55580372;316.3486305;0.669175956;12.66604042;37.13252265;8.757083117;716.5241951
104;48.808;-14.488;2009;2;6;6;157;4.154832836;-21.12016448;243.2674069;0.743499798;12.51555824;31.19642212;8.531359407;778.7165415
105;48.872;-13.99;2009;2;6;6;157;4.000375681;-21.5558792;205.9796115;0.655635021;12.53573036;28.89502622;8.433310101;722.5513977
106;48.99;-12.993;2009;2;6;6;157;5.300994424;-21.59289091;133.2451683;0.604730753;12.53179359;29.97568169;8.446252593;644.0845795
107;49.047;-12.492;2009;2;6;6;157;6.13829775;-21.67655885;96.18215397;0.623362819;12.53295326;29.82308913;8.364545513;655.2533468
108;45.987;-28.685;2009;2;6;4;155;5.341844994;-22.26215433;1296.351361;0.459240773;14.4231205;54.97584548;9.884688635;606.772493
109;46.228;-27.798;2009;2;6;5;156;1.8252238;-22.53107985;1226.988378;0.494446389;14.39196205;66.80552075;9.700790975;623.8950615
110;46.348;-27.348;2009;2;6;5;156;1.968806141;-22.59774146;1192.601603;0.494900091;14.26247597;63.89875766;9.649345176;635.8236056
111;46.465;-26.897;2009;2;6;5;156;2.807857269;-22.06000627;1158.344435;0.470281146;14.07656288;57.67998567;9.697269677;594.6785719
112;46.808;-25.528;2009;2;6;5;156;4.23546834;-20.03080156;1056.784475;0.431471371;13.72390175;82.84024657;9.490858402;591.5892733
113;46.913;-25.083;2009;2;6;5;156;4.271381036;-21.25976848;1023.142105;0.516074827;13.77013588;88.51368779;9.497386378;638.876339
114;47.018;-24.62;2009;2;6;5;156;4.635623022;-20.75537188;990.0800686;0.458611068;13.83803749;69.19697128;9.471797199;531.6231995
115;47.122;-24.155;2009;2;6;5;156;5.047662515;-20.65372695;957.2541408;0.61530046;13.91915321;72.87170017;9.461942427;696.6541859
116;47.222;-23.687;2009;2;6;5;156;5.559632773;-21.14326662;924.6836947;0.52311908;13.94756508;80.05355631;9.447768089;643.3315094
117;47.322;-23.217;2009;2;6;5;156;3.930267327;-21.02098371;892.3906578;0.652300514;13.90392494;91.25284922;9.413138615;765.1120941
118;47.418;-22.747;2009;2;6;5;156;3.817619282;-21.94864733;860.3999285;0.560519027;13.78869057;85.16165462;9.449097186;644.1343994
